state_name,year,unemployment_rate_pct,metric,data_source
Andaman and Nicobar Islands,2019-20,12.6,unemployment_rate_usual_status_pct,PLFS Annual Report MoSPI
Andaman and Nicobar Islands,2020-21,9.1,unemployment_rate_usual_status_pct,PLFS Annual Report MoSPI
Andaman and Nicobar Islands,2021-22,7.8,unemployment_rate_usual_status_pct,PLFS Annual Report MoSPI
Andaman and Nicobar Islands,2022-23,9.7,unemployment_rate_usual_status_pct,PLFS Annual Report MoSPI
Andaman and Nicobar Islands,2023-24,11.8,unemployment_rate_usual_status_pct,PLFS Annual Report MoSPI
Andhra Pradesh,2019-20,4.7,unemployment_rate_usual_status_pct,PLFS Annual Report MoSPI
Andhra Pradesh,2020-21,4.1,unemployment_rate_usual_status_pct,PLFS Annual Report MoSPI
Andhra Pradesh,2021-22,4.2,unemployment_rate_usual_status_pct,PLFS Annual Report MoSPI
Andhra Pradesh,2022-23,4.1,unemployment_rate_usual_status_pct,PLFS Annual Report MoSPI
Andhra Pradesh,2023-24,4.1,unemployment_rate_usual_status_pct,PLFS Annual Report MoSPI
Arunachal Pradesh,2019-20,6.7,unemployment_rate_usual_status_pct,PLFS Annual Report MoSPI
Arunachal Pradesh,2020-21,5.7,unemployment_rate_usual_status_pct,PLFS Annual Report MoSPI
Arunachal Pradesh,2021-22,7.7,unemployment_rate_usual_status_pct,PLFS Annual Report MoSPI
Arunachal Pradesh,2022-23,4.8,unemployment_rate_usual_status_pct,PLFS Annual Report MoSPI
Arunachal Pradesh,2023-24,6.1,unemployment_rate_usual_status_pct,PLFS Annual Report MoSPI
Assam,2019-20,7.9,unemployment_rate_usual_status_pct,PLFS Annual Report MoSPI
Assam,2020-21,4.1,unemployment_rate_usual_status_pct,PLFS Annual Report MoSPI
Assam,2021-22,3.8,unemployment_rate_usual_status_pct,PLFS Annual Report MoSPI
Assam,2022-23,1.7,unemployment_rate_usual_status_pct,PLFS Annual Report MoSPI
Assam,2023-24,3.9,unemployment_rate_usual_status_pct,PLFS Annual Report MoSPI
Bihar,2019-20,5.3,unemployment_rate_usual_status_pct,PLFS Annual Report MoSPI
Bihar,2020-21,4.7,unemployment_rate_usual_status_pct,PLFS Annual Report MoSPI
Bihar,2021-22,6.0,unemployment_rate_usual_status_pct,PLFS Annual Report MoSPI
Bihar,2022-23,3.9,unemployment_rate_usual_status_pct,PLFS Annual Report MoSPI
Bihar,2023-24,3.0,unemployment_rate_usual_status_pct,PLFS Annual Report MoSPI
Chandigarh,2019-20,6.3,unemployment_rate_usual_status_pct,PLFS Annual Report MoSPI
Chandigarh,2020-21,7.5,unemployment_rate_usual_status_pct,PLFS Annual Report MoSPI
Chandigarh,2021-22,6.3,unemployment_rate_usual_status_pct,PLFS Annual Report MoSPI
Chandigarh,2022-23,4.0,unemployment_rate_usual_status_pct,PLFS Annual Report MoSPI
Chandigarh,2023-24,7.1,unemployment_rate_usual_status_pct,PLFS Annual Report MoSPI
Chhattisgarh,2019-20,3.3,unemployment_rate_usual_status_pct,PLFS Annual Report MoSPI
Chhattisgarh,2020-21,2.5,unemployment_rate_usual_status_pct,PLFS Annual Report MoSPI
Chhattisgarh,2021-22,2.5,unemployment_rate_usual_status_pct,PLFS Annual Report MoSPI
Chhattisgarh,2022-23,2.5,unemployment_rate_usual_status_pct,PLFS Annual Report MoSPI
Chhattisgarh,2023-24,2.5,unemployment_rate_usual_status_pct,PLFS Annual Report MoSPI
Dadra and Nagar Haveli,2019-20,3.0,unemployment_rate_usual_status_pct,PLFS Annual Report MoSPI
Dadra and Nagar Haveli,2020-21,4.2,unemployment_rate_usual_status_pct,PLFS Annual Report MoSPI
Dadra and Nagar Haveli,2021-22,5.2,unemployment_rate_usual_status_pct,PLFS Annual Report MoSPI
Dadra and Nagar Haveli,2022-23,2.5,unemployment_rate_usual_status_pct,PLFS Annual Report MoSPI
Dadra and Nagar Haveli,2023-24,2.3,unemployment_rate_usual_status_pct,PLFS Annual Report MoSPI
Daman and Diu,2019-20,2.9,unemployment_rate_usual_status_pct,PLFS Annual Report MoSPI
Daman and Diu,2020-21,,unemployment_rate_usual_status_pct,PLFS Annual Report MoSPI
Daman and Diu,2021-22,,unemployment_rate_usual_status_pct,PLFS Annual Report MoSPI
Daman and Diu,2022-23,,unemployment_rate_usual_status_pct,PLFS Annual Report MoSPI
Daman and Diu,2023-24,,unemployment_rate_usual_status_pct,PLFS Annual Report MoSPI
Delhi,2019-20,8.7,unemployment_rate_usual_status_pct,PLFS Annual Report MoSPI
Delhi,2020-21,6.3,unemployment_rate_usual_status_pct,PLFS Annual Report MoSPI
Delhi,2021-22,5.3,unemployment_rate_usual_status_pct,PLFS Annual Report MoSPI
Delhi,2022-23,1.9,unemployment_rate_usual_status_pct,PLFS Annual Report MoSPI
Delhi,2023-24,2.1,unemployment_rate_usual_status_pct,PLFS Annual Report MoSPI
Goa,2019-20,8.1,unemployment_rate_usual_status_pct,PLFS Annual Report MoSPI
Goa,2020-21,10.5,unemployment_rate_usual_status_pct,PLFS Annual Report MoSPI
Goa,2021-22,12.0,unemployment_rate_usual_status_pct,PLFS Annual Report MoSPI
Goa,2022-23,9.7,unemployment_rate_usual_status_pct,PLFS Annual Report MoSPI
Goa,2023-24,8.5,unemployment_rate_usual_status_pct,PLFS Annual Report MoSPI
Gujarat,2019-20,2.0,unemployment_rate_usual_status_pct,PLFS Annual Report MoSPI
Gujarat,2020-21,2.2,unemployment_rate_usual_status_pct,PLFS Annual Report MoSPI
Gujarat,2021-22,2.0,unemployment_rate_usual_status_pct,PLFS Annual Report MoSPI
Gujarat,2022-23,1.7,unemployment_rate_usual_status_pct,PLFS Annual Report MoSPI
Gujarat,2023-24,1.1,unemployment_rate_usual_status_pct,PLFS Annual Report MoSPI
Haryana,2019-20,6.5,unemployment_rate_usual_status_pct,PLFS Annual Report MoSPI
Haryana,2020-21,6.3,unemployment_rate_usual_status_pct,PLFS Annual Report MoSPI
Haryana,2021-22,9.0,unemployment_rate_usual_status_pct,PLFS Annual Report MoSPI
