state_name,total_unorganised_registrations,snapshot_date
Andaman and Nicobar Islands,33107,2025-03-27
Andhra Pradesh,8358480,2025-03-27
Arunachal Pradesh,205341,2025-03-27
Assam,7638612,2025-03-27
Bihar,29837386,2025-03-27
Chandigarh,186575,2025-03-27
Chhattisgarh,8557694,2025-03-27
Delhi,3534956,2025-03-27
Goa,77959,2025-03-27
Gujarat,11971284,2025-03-27
Haryana,5379392,2025-03-27
Himachal Pradesh,1991342,2025-03-27
Jammu and Kashmir,3579518,2025-03-27
Jharkhand,9647118,2025-03-27
Karnataka,10743479,2025-03-27
Kerala,6030323,2025-03-27
Ladakh,34017,2025-03-27
Lakshadweep,2822,2025-03-27
Madhya Pradesh,18714163,2025-03-27
Maharashtra,17616521,2025-03-27
Manipur,456462,2025-03-27
Meghalaya,333837,2025-03-27
Mizoram,65305,2025-03-27
Nagaland,235239,2025-03-27
Odisha,13573230,2025-03-27
Puducherry,191742,2025-03-27
Punjab,5809018,2025-03-27
Rajasthan,14630740,2025-03-27
Sikkim,43055,2025-03-27
Tamil Nadu,9115993,2025-03-27
Telangana,4491013,2025-03-27
Dadra and Nagar Haveli and Daman and Diu,74861,2025-03-27
Tripura,890498,2025-03-27
Uttar Pradesh,83848503,2025-03-27
Uttarakhand,3069002,2025-03-27
West Bengal,26446920,2025-03-27
