state_name,has_gig_law,has_law_binary,protection_status,welfare_features_count,enforcement_status,gig_male,gig_female,gig_others,total_gig_workers,female_gig_pct,total_unorganised_27mar,total_unorganised_23mar,total_pop_2025,pop_share_pct,nsdp_crore_2024_25,per_capita_nsdp_rs,nsdp_rank,per_capita_rank,per_capita_status,gig_registration_rate_pct,protection_gap,reg_growth_4day,gig_per_lakh_pop,idx_law_score,idx_features_score,idx_registration_score,idx_income_score,gig_protection_index,protection_index_rank
Andhra Pradesh,No,0,No_Law,0,No Law,2729,2396,0,5125,46.75,8358480,8344403,53586000,3.7803,142299,266240,8,19,Above National Avg,0.0613,8353355,14077,9.56,0,0.0,10.83,9.23,20.06,19
Arunachal Pradesh,No,0,No_Law,0,No Law,43,28,0,71,39.44,205341,204987,1594000,0.1125,3800,238400,31,20,Above National Avg,0.0346,205270,354,4.45,0,0.0,6.11,8.27,14.38,23
Assam,No,0,No_Law,0,No Law,5387,5422,1,10810,50.16,7638612,7635682,36493000,2.5745,50000,137000,17,32,Below National Avg,0.1415,7627802,2930,29.62,0,0.0,25.0,4.75,29.75,9
Bihar,Yes,1,Enforced,5,Enforced,2205,2338,0,4543,51.46,29837386,29826750,131041000,9.2446,89902,69321,14,36,Below National Avg,0.0152,29832843,10636,3.47,30,16.67,2.69,2.4,51.76,5
Chhattisgarh,No,0,No_Law,0,No Law,437,210,0,647,32.46,8557694,8555759,30982000,2.1857,46000,148500,18,31,Below National Avg,0.0076,8557047,1935,2.09,0,0.0,1.34,5.15,6.49,35
Delhi,No,0,Discussions,1,Discussions,2807,938,0,3745,25.05,3534956,3531874,22277000,1.5716,112000,503000,11,4,Above National Avg,0.1059,3531211,3082,16.81,0,3.33,18.71,17.44,39.48,7
Goa,No,0,No_Law,0,No Law,83,21,0,104,20.19,77959,77907,1593000,0.1124,11500,721000,23,1,Above National Avg,0.1334,77855,52,6.53,0,0.0,23.57,25.0,48.57,6
Gujarat,No,0,In_Progress,1,In Progress,3108,1306,0,4414,29.59,11971284,11967347,73513000,5.1861,245000,330000,5,12,Above National Avg,0.0369,11966870,3937,6.0,0,3.33,6.52,11.44,21.29,17
Haryana,No,0,No_Law,0,No Law,1299,334,0,1633,20.45,5379392,5377958,31057000,2.191,105000,338000,13,11,Above National Avg,0.0304,5377759,1434,5.26,0,0.0,5.37,11.72,17.09,22
Himachal Pradesh,No,0,No_Law,0,No Law,104,158,0,262,60.31,1991342,1990770,7555000,0.533,22000,291200,22,17,Above National Avg,0.0132,1991080,572,3.47,0,0.0,2.33,10.1,12.43,27
Jharkhand,Yes,1,Enforced,5,Enforced,981,543,1,1525,35.61,9647118,9644758,40626000,2.866,42000,103400,19,35,Below National Avg,0.0158,9645593,2360,3.75,30,16.67,2.79,3.59,53.05,4
Karnataka,Yes,1,Enforced,5,Enforced,4115,1220,0,5335,22.87,10743479,10734841,68679000,4.8451,260394,380906,3,8,Above National Avg,0.0497,10738144,8638,7.77,30,16.67,8.78,13.21,68.66,2
Kerala,No,0,Discussions,1,Discussions,974,203,0,1177,17.25,6030323,6028554,36111000,2.5475,111122,308338,12,14,Above National Avg,0.0195,6029146,1769,3.26,0,3.33,3.45,10.69,17.47,21
Madhya Pradesh,No,0,No_Law,0,No Law,2357,1564,0,3921,39.89,18714163,18705240,88985000,6.2776,134624,152615,10,30,Below National Avg,0.021,18710242,8923,4.41,0,0.0,3.71,5.29,9.0,30
Maharashtra,No,0,In_Progress,1,In Progress,8467,3355,1,11823,28.38,17616521,17605903,128659000,9.0765,395731,309340,1,13,Above National Avg,0.0671,17604698,10618,9.19,0,3.33,11.86,10.73,25.92,13
Manipur,No,0,No_Law,0,No Law,28,29,0,57,50.88,456462,456324,3289000,0.232,4200,127700,29,33,Below National Avg,0.0125,456405,138,1.73,0,0.0,2.21,4.43,6.64,34
Meghalaya,No,0,No_Law,0,No Law,71,36,0,107,33.64,333837,333195,3417000,0.2411,5500,160900,27,29,Below National Avg,0.0321,333730,642,3.13,0,0.0,5.67,5.58,11.25,28
Mizoram,No,0,No_Law,0,No Law,21,15,0,36,41.67,65305,65284,1264000,0.0892,3600,285000,32,18,Above National Avg,0.0551,65269,21,2.85,0,0.0,9.73,9.88,19.61,20
Nagaland,No,0,No_Law,0,No Law,24,11,0,35,31.43,235239,234954,2279000,0.1608,4100,180000,30,24,Below National Avg,0.0149,235204,285,1.54,0,0.0,2.63,6.24,8.87,31
Odisha,No,0,No_Law,0,No Law,876,277,0,1153,24.02,13573230,13572023,46953000,3.3124,80000,170500,15,26,Below National Avg,0.0085,13572077,1207,2.46,0,0.0,1.5,5.91,7.41,33
Punjab,No,0,No_Law,0,No Law,881,563,0,1444,38.99,5809018,5807015,31188000,2.2002,74000,237300,16,21,Above National Avg,0.0249,5807574,2003,4.63,0,0.0,4.4,8.23,12.63,26
Rajasthan,Yes,1,Enforced,6,Enforced,2834,2010,0,4844,41.49,14630740,14620022,83060000,5.8596,140000,168500,9,28,Below National Avg,0.0331,14625896,10718,5.83,30,20.0,5.85,5.84,61.69,3
Sikkim,No,0,No_Law,0,No Law,29,13,0,42,30.95,43055,42989,703000,0.0496,4500,640300,28,2,Above National Avg,0.0975,43013,66,5.97,0,0.0,17.23,22.2,39.43,8
Tamil Nadu,Partial,0,Partial,1,Partial,3100,1733,3,4836,35.84,9115993,9106543,77394000,5.4599,279249,361619,2,10,Above National Avg,0.053,9111157,9450,6.25,0,3.33,9.36,12.54,25.23,14
Telangana,Yes,1,Enforced,3,Enforced,3656,317,0,3973,7.98,4491013,4489343,38499000,2.716,148703,387623,7,7,Above National Avg,0.0885,4487040,1670,10.32,30,10.0,15.64,13.44,69.08,1
Tripura,No,0,No_Law,0,No Law,128,44,0,172,25.58,890498,890278,4232000,0.2986,8500,200900,24,23,Above National Avg,0.0193,890326,220,4.06,0,0.0,3.41,6.97,10.38,29
