state_name,nsdp_crore_2024_25,per_capita_nsdp_rs,economy_size_category,data_source,data_year,unit,data_confidence,nsdp_share_of_india_pct,per_capita_vs_india_avg_pct,nsdp_rank,per_capita_rank,per_capita_status
Maharashtra,395731,309340,Very Large (>2L Cr),"RBI Handbook of Statistics on Indian States 2024-25 (10th Edition, Dec 2025)",2024-25,Rs. Crore (Current Prices),Verified,13.03,167.2,1,13,Above National Avg
Tamil Nadu,279249,361619,Very Large (>2L Cr),"RBI Handbook of Statistics on Indian States 2024-25 (10th Edition, Dec 2025)",2024-25,Rs. Crore (Current Prices),Verified,9.2,195.5,2,10,Above National Avg
Karnataka,260394,380906,Very Large (>2L Cr),"RBI Handbook of Statistics on Indian States 2024-25 (10th Edition, Dec 2025)",2024-25,Rs. Crore (Current Prices),Verified,8.58,205.9,3,8,Above National Avg
Uttar Pradesh,260000,108572,Very Large (>2L Cr),"RBI Handbook of Statistics on Indian States 2024-25 (10th Edition, Dec 2025)",2024-25,Rs. Crore (Current Prices),Verified,8.56,58.7,4,34,Below National Avg
Gujarat,245000,330000,Very Large (>2L Cr),"RBI Handbook of Statistics on Indian States 2024-25 (10th Edition, Dec 2025)",2024-25,Rs. Crore (Current Prices),Estimated from RBI trend,8.07,178.4,5,12,Above National Avg
Telangana,148703,387623,Large (1L-2L Cr),"RBI Handbook of Statistics on Indian States 2024-25 (10th Edition, Dec 2025)",2024-25,Rs. Crore (Current Prices),Verified,4.9,209.5,7,7,Above National Avg
Andhra Pradesh,142299,266240,Large (1L-2L Cr),"RBI Handbook of Statistics on Indian States 2024-25 (10th Edition, Dec 2025)",2024-25,Rs. Crore (Current Prices),Verified,4.69,143.9,8,19,Above National Avg
Rajasthan,140000,168500,Large (1L-2L Cr),"RBI Handbook of Statistics on Indian States 2024-25 (10th Edition, Dec 2025)",2024-25,Rs. Crore (Current Prices),Estimated from RBI trend,4.61,91.1,9,28,Below National Avg
West Bengal,175000,174600,Large (1L-2L Cr),"RBI Handbook of Statistics on Indian States 2024-25 (10th Edition, Dec 2025)",2024-25,Rs. Crore (Current Prices),Estimated from RBI trend,5.76,94.4,6,25,Below National Avg
Madhya Pradesh,134624,152615,Large (1L-2L Cr),"RBI Handbook of Statistics on Indian States 2024-25 (10th Edition, Dec 2025)",2024-25,Rs. Crore (Current Prices),Verified,4.43,82.5,10,30,Below National Avg
Kerala,111122,308338,Large (1L-2L Cr),"RBI Handbook of Statistics on Indian States 2024-25 (10th Edition, Dec 2025)",2024-25,Rs. Crore (Current Prices),Verified,3.66,166.7,12,14,Above National Avg
Haryana,105000,338000,Large (1L-2L Cr),"RBI Handbook of Statistics on Indian States 2024-25 (10th Edition, Dec 2025)",2024-25,Rs. Crore (Current Prices),Estimated from RBI trend,3.46,182.7,13,11,Above National Avg
Delhi,112000,503000,Large (1L-2L Cr),"RBI Handbook of Statistics on Indian States 2024-25 (10th Edition, Dec 2025)",2024-25,Rs. Crore (Current Prices),Verified,3.69,271.9,11,4,Above National Avg
