state_name,total_pop_2025,pop_share_pct
Uttar Pradesh,241265000,17.0206
Bihar,131041000,9.2446
Maharashtra,128659000,9.0765
West Bengal,100202000,7.069
Madhya Pradesh,88985000,6.2776
Rajasthan,83060000,5.8596
Tamil Nadu,77394000,5.4599
Gujarat,73513000,5.1861
Karnataka,68679000,4.8451
Andhra Pradesh,53586000,3.7803
Odisha,46953000,3.3124
Jharkhand,40626000,2.866
Telangana,38499000,2.716
Assam,36493000,2.5745
Kerala,36111000,2.5475
Haryana,31057000,2.191
Punjab,31188000,2.2002
Chhattisgarh,30982000,2.1857
Delhi,22277000,1.5716
Jammu and Kashmir,13831000,0.9757
Uttarakhand,11913000,0.8404
Himachal Pradesh,7555000,0.533
Tripura,4232000,0.2986
Meghalaya,3417000,0.2411
Manipur,3289000,0.232
Nagaland,2279000,0.1608
Puducherry,1732000,0.1222
Arunachal Pradesh,1594000,0.1125
Goa,1593000,0.1124
Dadra and Nagar Haveli and Daman and Diu,1479000,0.1043
Mizoram,1264000,0.0892
Chandigarh,1259000,0.0888
Sikkim,703000,0.0496
Andaman and Nicobar Islands,405000,0.0286
Ladakh,304000,0.0214
Lakshadweep,69000,0.0049
India,1417492000,100
