Sl. No.,State/UT,Male,Female,Others
1,Andaman and Nicobar Islands,21,11,NA
2,Andhra Pradesh,2729,2396,NA
3,Arunachal Pradesh,43,28,NA
4,Assam,5387,5422,1
5,Bihar,2205,2338,NA
6,Chandigarh,109,23,NA
7,Chhattisgarh,437,210,NA
8,Delhi,2807,938,NA
9,Goa,83,21,NA
10,Gujarat,3108,1306,NA
11,Haryana,1299,334,NA
12,Himachal Pradesh,104,158,NA
13,Jammu and Kashmir,326,160,NA
14,Jharkhand,981,543,1
15,Karnataka,4115,1220,NA
16,Kerala,974,203,NA
17,Ladakh,11,3,NA
18,Lakshadweep,1,NA,NA
19,Madhya Pradesh,2357,1564,NA
20,Maharashtra,8467,3355,1
21,Manipur,28,29,NA
22,Meghalaya,71,36,NA
23,Mizoram,21,15,NA
24,Nagaland,24,11,NA
25,Odisha,876,277,NA
26,Puducherry,62,18,NA
27,Punjab,881,563,NA
28,Rajasthan,2834,2010,NA
29,Sikkim,29,13,NA
30,Tamil Nadu,3100,1733,3
31,Telangana,3656,317,NA
32,Dadra and Nagar Haveli and Daman and Diu,13,10,NA
33,Tripura,128,44,NA
34,Uttar Pradesh,4788,1636,NA
35,Uttarakhand,294,161,NA
36,West Bengal,14313,12058,NA
Grand Total,Grand Total,66682,39164,6
