Sl. No.,State/UT,Total Registrations
1,Andaman and Nicobar Islands,33107
2,Andhra Pradesh,8358480
3,Arunachal Pradesh,205341
4,Assam,7638612
5,Bihar,29837386
6,Chandigarh,186575
7,Chhattisgarh,8557694
8,Delhi,3534956
9,Goa,77959
10,Gujarat,11971284
11,Haryana,5379392
12,Himachal Pradesh,1991342
13,Jammu and Kashmir,3579518
14,Jharkhand,9647118
15,Karnataka,10743479
16,Kerala,6030323
17,Ladakh,34017
18,Lakshadweep,2822
19,Madhya Pradesh,18714163
20,Maharashtra,17616521
21,Manipur,456462
22,Meghalaya,333837
23,Mizoram,65305
24,Nagaland,235239
25,Odisha,13573230
26,Puducherry,191742
27,Punjab,5809018
28,Rajasthan,14630740
29,Sikkim,43055
30,Tamil Nadu,9115993
31,Telangana,4491013
32,Dadra and Nagar Haveli and Daman and Diu,74861
33,Tripura,890498
34,Uttar Pradesh,83848503
35,Uttarakhand,3069002
36,West Bengal,26446920
Total,Total,307415507
